row,col,fitted_celltype,state
37967.4375,27029.165178571428,Cytotoxic T cells,0
38106.10362694301,27027.20207253886,Stromal cells (undefined),6
37985.140127388535,27029.45859872612,Stromal cells (undefined),6
38088.9313304721,27029.61802575107,Endothelial cells,1
38120.21556886227,27029.922155688622,Endothelial cells,1
38025.57575757576,27030.17316017316,Stromal cells (undefined),6
37892.67796610169,27031.330508474577,Cytotoxic T cells,0
38003.32258064516,27032.687096774192,Tumor cells,8
38038.36842105263,27034.70175438597,Stromal cells (undefined),6
38070.135802469136,27035.24279835391,T cells (other),7
38050.82467532468,27037.24025974026,Cytotoxic T cells,0
38133.95609756098,27037.0,Tumor cells,8
38098.275132275136,27040.232804232804,Stromal cells (undefined),6
38111.45569620253,27040.91772151899,Stromal cells (undefined),6
37895.21495327103,27043.644859813085,Cytotoxic T cells,0
37907.95070422535,27043.570422535213,Cytotoxic T cells,0
38062.23722627737,27047.492700729927,Cytotoxic T cells,0
38140.07070707071,27047.353535353537,Stromal cells (undefined),6
38080.62068965517,27049.306896551723,Tumor cells,8
38127.41884816754,27048.47643979057,Tumor cells,8
37966.28195488722,27050.14285714286,Cytotoxic T cells,0
38009.85655737705,27049.29098360656,Cytotoxic T cells,0
38024.95220588235,27051.466911764703,Cytotoxic T cells,0
38099.50427350427,27051.36752136752,Tumor cells,8
37916.41666666666,27053.3125,Cytotoxic T cells,0
37999.11309523809,27056.61309523809,Cytotoxic T cells,0
38059.69683257918,27061.25791855204,Cytotoxic T cells,0
38117.9520383693,27060.17505995204,Endothelial cells,1
37986.91555555556,27060.16,Endothelial cells,1
38091.34193548387,27062.641935483876,Endothelial cells,1
38136.84166666667,27060.45,Tumor cells,8
38018.82051282052,27063.94871794872,Cytotoxic T cells,0
37973.48760330579,27064.53305785124,Endothelial cells,1
37892.51724137931,27065.201149425287,Helper T cells,2
38141.48888888889,27068.022222222226,Stromal cells (undefined),6
38004.80876494024,27068.705179282868,T cells (other),7
38031.91320754717,27072.04528301887,Cytotoxic T cells,0
38132.38775510204,27075.36054421769,T cells (other),7
37953.67832167832,27078.03846153846,Cytotoxic T cells,0
38017.80952380953,27078.108225108223,Tumor cells,8
37981.59701492537,27078.910447761195,T cells (other),7
38046.125714285714,27078.394285714287,Neutrophils,5
37995.67346938775,27078.632653061224,Tumor cells,8
38075.67768595041,27080.822314049587,Neutrophils,5
37972.22857142857,27083.18857142857,Stromal cells (undefined),6
38092.66860465116,27084.767441860466,Helper T cells,2
37923.16271186441,27085.57627118644,Stromal cells (undefined),6
38109.884057971016,27086.440579710143,Endothelial cells,1
37940.46739130434,27087.73369565217,Stromal cells (undefined),6
37991.63562753036,27089.78947368421,Macrophages (CD163+),3
38056.20967741936,27088.893548387096,Cytotoxic T cells,0
38019.08262108262,27091.390313390315,Macrophages (CD163-),4
38071.84615384616,27092.80769230769,Macrophages (CD163+),3
37911.68586387434,27095.81151832461,Endothelial cells,1
38097.55212355212,27097.59073359073,Cytotoxic T cells,0
37897.54666666667,27097.34,Cytotoxic T cells,0
38038.07878787879,27099.40606060606,T cells (other),7
38126.28911564626,27100.94557823129,Tumor cells,8
37928.95731707317,27102.41768292683,Cytotoxic T cells,0
38062.643939393936,27104.73232323232,Neutrophils,5
38138.94318181818,27106.329545454544,Stromal cells (undefined),6
37903.75384615385,27108.08205128205,Endothelial cells,1
38103.10731707317,27109.658536585364,Cytotoxic T cells,0
38085.86852589642,27111.53386454183,Cytotoxic T cells,0
37980.16463414634,27110.634146341465,Tumor cells,8
37993.17615176152,27111.91056910569,Tumor cells,8
38008.65181058496,27111.46239554317,Tumor cells,8
